epoch,train_loss,test_psnr

1,0.05459116209482512,21.60206531524658
2,0.052651658392167816,21.547930345535278
3,0.05229101580047109,21.489104776382447
4,0.04938504400843677,23.877857151031495
5,0.0410932514873181,24.31737636566162
6,0.03805191050010942,25.434203643798828
7,0.035307303092268934,26.095183448791502
8,0.03371315603870403,26.245128135681153
9,0.03332928047575651,25.52879650115967
10,0.032118149671859386,26.664765510559082
11,0.03131404098038324,26.295103759765624
12,0.03119037472448195,26.991810607910157
13,0.030020636906528654,26.81562213897705
14,0.029886666430379953,26.627749214172365
15,0.02933261173108005,27.05874866485596
16,0.028969125623882045,26.202374534606932
17,0.028764359355539424,27.339979400634764
18,0.028248510309300267,27.19142906188965
19,0.02771012305136869,27.219452743530272
20,0.027900060334246423,27.598218154907226
21,0.027249890801004584,27.48565803527832
22,0.02689719528044811,27.414411544799805
23,0.026455565816067696,27.455435981750487
24,0.026197041880636842,27.82445613861084
25,0.02622695356791577,27.66070198059082
26,0.025640755034841513,27.41831672668457
27,0.025389808534641,27.205993194580078
28,0.025417474236608457,27.25389408111572
29,0.02507146962072006,27.63075107574463
30,0.02519249309123469,27.8102237701416
31,0.024544507739605106,26.988187789916992
32,0.024409542008951138,27.750984916687013
33,0.023562356507398557,27.725747451782226
34,0.023541825989919923,27.672822036743163
35,0.023098216604568886,28.02835693359375
36,0.022869668405205577,28.11559555053711
37,0.023153920502122137,27.981213760375976
38,0.022566227670829785,27.545809783935546
39,0.022351839264479426,27.960227012634277
40,0.021983690496123337,27.795049934387208
41,0.02156847717502498,27.972498626708983
42,0.02126440845656531,27.92078369140625
43,0.021203148150427033,28.04921989440918
44,0.020965560442084596,28.001103973388673
45,0.02074953713613658,28.07526550292969
46,0.020293550852672003,27.83896816253662
47,0.020237545975034226,27.960950202941895
48,0.019841096526854618,27.67788730621338
49,0.01986125583261138,27.89264228820801
50,0.019555727150928612,27.74301372528076
